%TITLE%
 JAX   210418/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
0-3 km BWD   32 kt
0-6 km BWD   54 kt
0-6 km mean wind    30.0 kt

----- Storm_Relative Winds/Shear -----
Bunkers storm motion    286/37 kt
0-1 km SRH   -42 ms/s2
0-3 km SRH   78 ms/s2

----- Effective Inflow Layer Parameters -----
Effective inflow base    0 m AGL
Effective inflow top     91 m AGL
Effective SRH   -22 ms/s2
Effective BWD    47 kt

----- Composite Parameters -----
Effective-layer SCP   -1.5
Effective-layer STP   0.0
Fixed-layer STP       0.0
SHIP                  0.0

----- Fire Weather -----
Fosberg Index         2
